Part E - Locally Implemented Funding Formula,,,,,,,,,,,,,,
Are schools allocated a sizeable portion of their funding via a locally implemented formula?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
310200010126,P.S. 126 Jacob August Riis,02M126,"$5,227,068","$5,227,068",$0,100.00%,"$338,081","$1,464,306","$7,029,454","$7,029,454",$0,"$12,413,828",56.63%,"$5,384,374"
310200010130,P.S. 130 Hernando De Soto,02M130,"$4,482,003","$4,482,003",$0,100.00%,"$338,081","$1,324,382","$6,144,467","$6,144,467",$0,"$10,721,178",57.31%,"$4,576,712"
310200010131,M.S. 131,02M131,"$2,994,003","$2,994,003",$0,100.00%,"$338,081","$815,512","$4,147,596","$4,147,596",$0,"$8,736,330",47.48%,"$4,588,733"
310200011135,The Urban Assembly School for Emergency Management,02M135,"$3,222,219","$3,222,219",$0,100.00%,"$338,081","$858,161","$4,418,461","$4,418,461",$0,"$5,293,874",83.46%,"$875,413"
310200011139,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,"$4,673,040","$4,673,040",$0,100.00%,"$338,081","$1,387,237","$6,398,358","$6,398,358",$0,"$7,999,799",79.98%,"$1,601,441"
310200010150,P.S. 150,02M150,"$1,024,129","$1,024,129",$0,100.00%,"$338,081","$325,832","$1,688,042","$1,688,042",$0,"$3,382,647",49.90%,"$1,694,606"
310200010151,Yorkville Community School,02M151,"$2,485,789","$2,485,789",$0,100.00%,"$338,081","$817,460","$3,641,329","$3,641,329",$0,"$7,672,255",47.46%,"$4,030,926"
310200010158,P.S. 158 Bayard Taylor,02M158,"$4,418,780","$4,418,780",$0,100.00%,"$338,081","$1,259,316","$6,016,177","$6,016,177",$0,"$10,289,572",58.47%,"$4,273,395"
310200010167,J.H.S. 167 Robert F. Wagner,02M167,"$9,125,967","$9,125,967",$0,100.00%,"$338,081","$2,556,541","$12,020,589","$12,020,589",$0,"$15,344,982",78.34%,"$3,324,393"
310200010177,Yorkville East Middle School,02M177,"$2,095,366","$2,095,366",$0,100.00%,"$338,081","$703,562","$3,137,010","$3,137,010",$0,"$4,360,689",71.94%,"$1,223,680"
310200010183,P.S. 183 Robert L. Stevenson,02M183,"$3,497,911","$3,497,911",$0,100.00%,"$338,081","$1,033,394","$4,869,386","$4,869,386",$0,"$8,212,156",59.29%,"$3,342,770"
310200010198,P.S. 198 Isador E. Ida Straus,02M198,"$3,057,332","$3,057,332",$0,100.00%,"$338,081","$941,208","$4,336,621","$4,336,621",$0,"$7,576,243",57.24%,"$3,239,622"
310200010212,P.S. 212 Midtown West,02M212,"$1,576,358","$1,576,358",$0,100.00%,"$338,081","$453,880","$2,368,319","$2,368,319",$0,"$4,647,990",50.95%,"$2,279,671"
310200010217,P.S./I.S. 217 Roosevelt Island,02M217,"$5,572,507","$5,572,507",$0,100.00%,"$338,081","$1,465,428","$7,376,015","$7,376,015",$0,"$10,343,705",71.31%,"$2,967,690"
310200011225,Ella Baker School,02M225,"$2,483,834","$2,347,676",$0,105.80%,"$338,081","$831,606","$3,653,521","$3,479,219",$0,"$6,596,696",55.38%,"$2,943,174"
310200010234,P.S. 234 Independence School,02M234,"$3,573,782","$3,573,782",$0,100.00%,"$338,081","$1,096,749","$5,008,612","$5,008,612",$0,"$7,997,200",62.63%,"$2,988,589"
310200010255,M.S. 255 Salk School of Science,02M255,"$3,128,441","$3,128,441",$0,100.00%,"$338,081","$947,724","$4,414,246","$4,414,246",$0,"$5,338,155",82.69%,"$923,909"
310200010260,The Clinton School,02M260,"$6,326,021","$6,326,021",$0,100.00%,"$338,081","$1,842,253","$8,506,355","$8,506,355",$0,"$11,211,124",75.87%,"$2,704,770"
310200010267,"East Side Elementary School, PS 267",02M267,"$2,949,319","$2,949,319",$0,100.00%,"$338,081","$941,885","$4,229,285","$4,229,285",$0,"$5,936,790",71.24%,"$1,707,505"
310200010276,Battery Park City School,02M276,"$5,787,857","$5,787,857",$0,100.00%,"$338,081","$1,886,125","$8,012,063","$8,012,063",$0,"$12,625,583",63.46%,"$4,613,520"
310200011280,Manhattan Early College School for Advertising,02M280,"$4,409,808","$4,409,808",$0,100.00%,"$338,081","$1,274,629","$6,022,518","$6,022,518",$0,"$7,100,545",84.82%,"$1,078,028"
310200010281,The River School,02M281,"$3,214,390","$3,214,390",$0,100.00%,"$338,081","$932,784","$4,485,255","$4,485,255",$0,"$7,210,972",62.20%,"$2,725,717"
