BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
342600010266,P.S./I.S. 266,26Q266,"$4,228,931.00","$4,228,931.00",$0.00,100.00%,"$338,081.00","$1,316,172.00","$5,883,184.00","$5,883,184.00",$0.00,"$10,708,552.00",54.94%,"$4,825,368.00"
342600011315,Business Technology Early College High School,26Q315,"$5,173,339.00","$5,173,339.00",$0.00,100.00%,"$338,081.00","$1,464,762.00","$6,976,182.00","$6,976,182.00",$0.00,"$7,836,988.00",89.02%,"$860,806.00"
342600010376,P.S. 376,26Q376,"$3,121,322.00","$3,121,322.00",$0.00,100.00%,"$338,081.00","$969,799.00","$4,429,202.00","$4,429,202.00",$0.00,"$6,741,001.00",65.71%,"$2,311,799.00"
342600010390,The CIVIC School of Bayside Hills,26Q390,"$532,664.00","$532,664.00",$0.00,100.00%,"$338,081.00","$237,982.00","$1,108,727.00","$1,108,727.00",$0.00,"$2,209,482.00",50.18%,"$1,100,755.00"
342600011415,Benjamin N. Cardozo High School,26Q415,"$25,796,502.00","$25,796,502.00",$0.00,100.00%,"$338,081.00","$7,226,610.00","$33,361,193.00","$33,361,193.00",$0.00,"$39,715,336.00",84.00%,"$6,354,144.00"
342600011430,Francis Lewis High School,26Q430,"$34,049,128.00","$34,049,128.00",$0.00,100.00%,"$338,081.00","$9,183,849.00","$43,571,058.00","$43,571,058.00",$0.00,"$54,230,483.00",80.34%,"$10,659,426.00"
342600011435,Martin Van Buren High School,26Q435,"$10,136,530.00","$10,136,530.00",$0.00,100.00%,"$338,081.00","$2,941,736.00","$13,416,347.00","$13,416,347.00",$0.00,"$18,622,800.00",72.04%,"$5,206,453.00"
342600011495,Bayside High School,26Q495,"$25,852,581.00","$25,852,581.00",$0.00,100.00%,"$338,081.00","$6,954,857.00","$33,145,520.00","$33,145,520.00",$0.00,"$41,428,810.00",80.01%,"$8,283,290.00"
342600011566,"Queens High School of Teaching, Liberal Arts and the Sciences",26Q566,"$8,123,292.00","$8,123,292.00",$0.00,100.00%,"$338,081.00","$2,005,708.00","$10,467,081.00","$10,467,081.00",$0.00,"$16,179,735.00",64.69%,"$5,712,654.00"
342700010042,P.S./M.S 042 R. Vernam,27Q042,"$4,710,893.00","$4,710,893.00",$0.00,100.00%,"$338,081.00","$1,319,706.00","$6,368,681.00","$6,368,681.00",$0.00,"$13,042,040.00",48.83%,"$6,673,360.00"
