Number Tested,Mean Scale Score
69896,419.1311111111111
101693,426.88408644400783
109546,429.81720430107526
104080,420.634
177860,417.8434959349593
142047,436.4448897795591
152652,417.883064516129
38566,403.8904109589041
128734,417.3236607142857
81029,410.9343544857768
95278,413.8731808731809
136534,418.3392461197339
173480,431.1752988047809
164674,430.95771670190277
104616,427.7655601659751
31491,391.7814910025707
56148,411.53679653679654
73703,427.26105263157893
2221,546.6067415730337
46478,408.61290322580646
104721,418.59519038076155
27838,406.5220588235294
25313,427.2564102564103
91256,407.4188034188034
19009,390.545197740113
25254,412.22332506203475
31801,412.33846153846156
12043,413.0163265306122
23114,426.49004975124376
25942,420.53807106598987
11783,419.1046511627907
31162,404.20947630922694
15644,454.7694704049844
3324,536.4659090909091
31495,434.3757225433526
7464,399.1287878787879
8550,492.84090909090907
32275,426.6697247706422
8284,449.8480392156863
14918,403.43266475644697
11223,381.018115942029
15214,418.50515463917526
26317,397.47091412742384
66130,410.08641975308643
39715,404.98227848101266
44071,411.25615763546796
32793,414.47536945812806
191859,418.126
99494,431.78914405010437
87916,426.00228832951944
14453,428.4017094017094
18753,461.874358974359
38596,409.0121359223301
12740,397.45757575757574
35804,448.56598984771574
15714,412.1191222570533
18072,559.2075471698113
18716,389.90030211480365
44341,406.07216494845363
36629,380.6439169139466
33506,403.31094527363183
19989,498.60869565217394
39788,404.8475935828877
18453,415.4702842377261
99533,443.8424369747899
24378,419.3245382585752
10605,502.74058577405856
8932,550.9407894736842
3131,505.9298245614035
8218,403.5833333333333
25369,399.96559139784944
37097,435.69789227166274
14367,423.14193548387095
49918,433.59574468085106
14161,419.030303030303
37015,442.07380952380953
114526,448.2371364653244
45086,430.42117647058825
23230,438.06
32677,424.04477611940297
28380,400.3956043956044
19289,403.7980769230769
40280,422.167816091954
9063,393.28
15848,403.59450171821305
27844,415.890243902439
33093,434.7796208530806
32581,421.7139037433155
9522,409.00888888888886
27598,406.1898734177215
10172,471.86036036036035
8196,521.2988505747127
9737,439.38125
6024,549.1286549707602
3032,375.2865168539326
1978,435.1818181818182
9881,469.2707423580786
14175,388.08053691275165
62458,458.257048092869
22127,412.7256097560976
18430,403.5640326975477
5236,545.5178571428571
48301,439.49653579676675
17710,414.405684754522
54428,446.27923627684964
31681,413.13684210526316
31850,414.360103626943
31970,413.6770833333333
42137,426.2372093023256
27892,401.5875
15077,411.20533333333333
23647,397.14714714714717
49455,415.49038461538464
21804,428.60497237569064
29760,426.3432494279176
27092,425.93617021276594
28153,436.1770573566085
14926,396.4469453376206
43493,426.4973821989529
24169,403.08839779005524
34701,431.1439393939394
6401,397.2232558139535
24021,398.46944444444443
9295,454.4923076923077
28177,446.66223404255317
20333,401.3516129032258
40689,410.55324074074076
37526,457.85263157894735
18161,408.81322957198444
48359,412.38530066815144
18344,407.0394736842105
26345,440.286432160804
27630,404.5266106442577
63186,425.64
30954,436.42547425474254
38969,434.92723004694835
58939,428.1990632318501
70007,424.27433628318585
41101,422.9086956521739
16247,400.3468013468013
83627,409.9864253393665
17313,425.55629139072846
11666,418.4833836858006
4818,415.7381974248927
26665,392.21963824289406
7487,398.24045801526717
18240,405.76539589442814
11917,407.7938461538462
23065,417.9933184855234
5470,409.969696969697
22332,410.36260623229464
22577,405.53025936599425
17761,371.24943310657596
25059,436.6554404145078
33494,423.04229607250755
90702,419.4175
25701,412.22636815920396
19033,409.2994791666667
14601,428.42815249266863
60520,421.8075221238938
21217,399.58045977011494
21631,428.39130434782606
63367,431.79333333333335
33153,407.684350132626
47762,415.8752642706131
38187,430.72365339578454
8710,409.6
24531,432.9700272479564
19342,388.7546583850932
26623,399.75783475783476
53782,431.46555819477436
36976,428.11442786069654
14028,410.07817589576547
3677,375.7752808988764
7550,422.58527131782944
30298,435.7581395348837
8896,436.3488372093023
26540,413.13529411764705
28136,404.5657894736842
33676,428.5448113207547
31243,437.92929292929296
33834,417.1912442396313
8112,391.9280303030303
37622,428.488038277512
22814,405.78977272727275
22232,426.4651162790698
19851,431.80913978494624
17327,394.046439628483
32737,412.18207282913164
15997,429.01295336787564
45544,433.50786516853935
32574,430.1005291005291
25387,437.5197215777262
46355,424.2789256198347
41636,407.96135265700485
18112,399.5
25905,422.8095238095238
16663,429.6317365269461
27933,410.425
29420,412.74
38353,435.49322493224935
14079,404.47003154574134
18430,424.2018927444795
30699,423.5215419501134
16600,432.77560975609754
9591,432.5326086956522
18497,429.4235588972431
13702,438.83641975308643
25808,442.25132275132273
11158,416.1655629139073
19603,408.23275862068965
24153,438.79328165374676
22859,393.73706896551727
29548,438.21487603305786
39513,406.0612813370474
30655,431.0798969072165
15255,401.1687898089172
47768,433.2391304347826
52763,402.9756097560976
16592,413.0416666666667
8407,398.9881422924901
5183,397.7403314917127
34007,399.91623036649213
12500,394.8484848484849
41909,420.39592760180994
11710,400.0054945054945
25549,429.76428571428573
35736,390.5514184397163
47758,396.6234413965087
10615,408.02768166089965
9808,429.5482233502538
47862,406.2962962962963
27462,391.2442528735632
27209,421.01650943396226
20013,407.6273291925466
56987,448.68609865470853
74789,427.9396433470508
24511,407.4
38731,439.17632850241546
33220,421.7321016166282
14195,426.4621409921671
24573,425.2853717026379
17734,412.9415584415584
35672,420.54545454545456
49949,416.72222222222223
37194,426.57466063348414
24746,415.43583535108957
5154,382.77941176470586
24316,388.4130434782609
27855,428.91501416430594
19985,419.8506329113924
27782,422.91323210412145
7867,423.0230769230769
33744,419.2052401746725
19927,400.0676470588235
28110,407.7162162162162
17311,395.46802325581393
37074,436.42243436754177
23702,433.19
21277,398.5479876160991
11363,396.1620689655172
42143,421.9748858447489
53920,422.7225806451613
12201,394.2384341637011
25731,407.4108280254777
19459,417.51724137931035
60729,421.6041237113402
28834,423.8854415274463
8232,400.96762589928056
30067,424.4963144963145
13341,407.77351916376307
21702,431.4672897196262
24719,406.0398936170213
7978,390.5036496350365
22972,406.33432835820895
32303,412.25892857142856
29266,413.87405541561714
46984,424.94444444444446
55055,433.1415525114155
23594,426.7050561797753
41410,425.84934497816596
53176,402.7013698630137
36249,420.6047619047619
109058,421.31072749691737
33516,409.3407407407407
26537,393.5501519756839
23123,421.15625
16324,393.8850931677019
19028,407.59276018099547
47242,410.6144859813084
18363,405.8490099009901
