School Name,Number Tested,Mean Scale Score
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,3613,369.54375
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,19836,406.47293447293447
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,23008,415.3532934131737
FUTURE LEADERS INSTITUTE CHARTER SCHOOL,3418,381.8979591836735
GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,5242,395.2857142857143
GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX,5004,413.6923076923077
GLOBAL COMMUNITY CHARTER SCHOOL,1550,432.88235294117646
GOLDIE MAPLE ACADEMY,18492,410.20843091334893
GRAND CONCOURSE CHARTER SCHOOL,3508,426.7567567567568
GRANT AVENUE ELEMENTARY SCHOOL,16049,409.9268292682927
GREAT OAKS CHARTER SCHOOL,2212,416.3333333333333
GROWING UP GREEN CHARTER SCHOOL,5200,410.5263157894737
GROWING UP GREEN CHARTER SCHOOL II,348,596.4
HAMILTON GRANGE MIDDLE SCHOOL,13385,454.80155642023345
HARBOR HEIGHTS,9022,387.35714285714283
HARBOR SCIENCE AND ARTS CHARTER SCHOOL,2368,389.734693877551
HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER S,7388,397.734693877551
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER,6140,402.44897959183675
HARLEM HEBREW LANGUAGE CHARTER SCHOOL,1250,495.14285714285717
HARLEM LINK CHARTER SCHOOL,2052,385.2857142857143
HARLEM PREP CHARTER SCHOOL,6082,394.80434782608694
HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,4134,407.54761904761904
HARLEM VILLAGE ACADEMY WEST CHARTER SCHOOL,4496,408.8095238095238
HAROLD O. LEVY SCHOOL,30515,376.83183183183183
HARRIET TUBMAN CHARTER SCHOOL,5818,395.8979591836735
HAWTREE CREEK MIDDLE SCHOOL,25285,439.70238095238096
HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,3936,427.1666666666667
HEKETI COMMUNITY CHARTER SCHOOL,912,438.1764705882353
HELEN M. MARSHALL SCHOOL,22024,444.6566666666667
HELLENIC CLASSICAL CHARTER SCHOOL,4300,409.0
HIGHLAND PARK COMMUNITY SCHOOL,19856,450.0068259385666
HOSTOS-LINCOLN ACADEMY OF SCIENCE,13809,409.4823151125402
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,22546,427.42767295597486
HUNTERS POINT ELEMENTARY SCHOOL,773,510.9761904761905
HYDE LEADERSHIP CHARTER SCHOOL,5676,376.6666666666667
HYDE LEADERSHIP CHARTER SCHOOL- BROOKLYN,2290,402.46153846153845
I. S. 381,29294,418.7250554323725
I.S. 007 ELIAS BERNSTEIN,110742,439.70533642691413
I.S. 010 HORACE GREELEY,80876,422.0556745182013
I.S. 024 MYRA S. BARNES,115621,419.2537634408602
I.S. 025 ADRIEN BLOCK,83364,430.5890410958904
I.S. 027 ANNING S. PRALL,93876,410.6735537190083
I.S. 034 TOTTENVILLE,102629,435.4195804195804
I.S. 051 EDWIN MARKHAM,117333,407.979674796748
I.S. 059 SPRINGFIELD GARDENS,51517,408.46835443037975
I.S. 061 LEONARDO DA VINCI,218238,411.18494623655914
I.S. 061 WILLIAM A MORRIS,101282,407.16494845360825
I.S. 068 ISAAC BILDERSEE,42385,400.2720930232558
I.S. 072 ROCCO LAURIE,129029,423.5514403292181
I.S. 075 FRANK D. PAULO,126378,437.60538116591925
I.S. 093 RIDGEWOOD,95436,408.1187648456057
I.S. 096 SETH LOW,68507,419.8574514038877
I.S. 117 JOSEPH H. WADE,49777,388.43283582089555
I.S. 125 THOM J. MCCANN WOODSIDE,131429,419.1746361746362
I.S. 136 CHARLES O. DEWEY,39767,400.57323232323233
I.S. 141 THE STEINWAY,110408,431.369696969697
I.S. 145 JOSEPH PULITZER,178612,418.8105726872247
I.S. 171 ABRAHAM LINCOLN,45959,391.9725
I.S. 181 PABLO CASALS,70194,421.2806603773585
I.S. 192 THE LINDEN,47800,402.17216981132077
I.S. 204 OLIVER W. HOLMES,49207,416.11304347826086
I.S. 206 ANN MERSEREAU,23357,397.12598425196853
I.S. 211 JOHN WILSON,47796,404.4810126582278
I.S. 219 NEW VENTURE SCHOOL,27840,384.2651933701657
I.S. 227 LOUIS ARMSTRONG,137668,436.38775510204084
I.S. 228 DAVID A. BOODY,124305,427.7190775681342
I.S. 229 ROLAND PATTERSON,19893,389.91340782122904
I.S. 230,111766,430.5652173913044
I.S. 232,40779,398.43220338983053
I.S. 237,120786,431.57659574468084
I.S. 238 - SUSAN B. ANTHONY ACADEMY,109724,382.46495327102804
I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SC,34008,413.58526315789476
I.S. 254,42637,399.86768447837153
I.S. 281 JOSEPH B CAVALLARO,118858,429.51767151767154
I.S. 285 MEYER LEVIN,67795,407.5833333333333
I.S. 289,26088,439.54237288135596
I.S. 303 HERBERT S. EISENBERG,50532,418.85097192224623
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,28423,396.68533333333335
I.S. 318 EUGENIO MARIA DE HOSTOS,106345,415.81015452538634
I.S. 339,42315,396.5848101265823
I.S. 340,16253,431.7687074829932
I.S. 347 SCHOOL OF HUMANITIES,28629,401.122905027933
"I.S. 349 MATH, SCIENCE & TECH.",28317,410.2
I.S. 364 GATEWAY,26381,396.96802325581393
I.S. 392,21117,442.51525423728816
I.S. 49 BERTA A. DREYFUS,59641,387.09952606635073
I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,163562,426.02150537634407
I.S. 528 BEA FULLER RODGERS SCHOOL,15294,400.49319727891157
I.S. 584,8778,548.7027027027027
