School Name,Number Tested,Mean Scale Score
J.H.S. 131 ALBERT EINSTEIN,49788,407.52487562189054
J.H.S. 143 ELEANOR ROOSEVELT,25212,395.9356725146199
J.H.S. 144 MICHELANGELO,51168,416.84057971014494
J.H.S. 157 STEPHEN A. HALSEY,140080,428.17670682730926
J.H.S. 162 THE WILLOUGHBY,36259,404.335
J.H.S. 167 ROBERT F. WAGNER,123853,431.0635245901639
J.H.S. 185 EDWARD BLEEKER,147216,426.62893081761007
J.H.S. 189 DANIEL CARTER BEARD,69896,419.1311111111111
J.H.S. 190 RUSSELL SAGE,101693,426.88408644400783
J.H.S. 194 WILLIAM CARR,109546,429.81720430107526
J.H.S. 202 ROBERT H. GODDARD,104080,420.634
J.H.S. 210 ELIZABETH BLACKWELL,177860,417.8434959349593
J.H.S. 216 GEORGE J. RYAN,142047,436.4448897795591
J.H.S. 217 ROBERT A. VAN WYCK,152652,417.883064516129
J.H.S. 218 JAMES P. SINNOTT,38566,403.8904109589041
J.H.S. 220 JOHN J. PERSHING,128734,417.3236607142857
J.H.S. 223 THE MONTAUK,81029,410.9343544857768
J.H.S. 226 VIRGIL I. GRISSOM,95278,413.8731808731809
J.H.S. 227 EDWARD B. SHALLOW,136534,418.3392461197339
J.H.S. 234 ARTHUR W. CUNNINGHAM,173480,431.1752988047809
J.H.S. 259 WILLIAM MCKINLEY,164674,430.95771670190277
J.H.S. 278 MARINE PARK,104616,427.7655601659751
J.H.S. 291 ROLAND HAYES,31491,391.7814910025707
J.H.S. 292 MARGARET S. DOUGLAS,56148,411.53679653679654
J.H.S. 383 PHILIPPA SCHUYLER,73703,427.26105263157893
JAMAICA CHILDREN'S SCHOOL,2221,546.6067415730337
JAMES WELDON JOHNSON,46478,408.61290322580646
JEAN NUZZI INTERMEDIATE SCHOOL,104721,418.59519038076155
JOHN ERICSSON MIDDLE SCHOOL 126,27838,406.5220588235294
JONAS BRONCK ACADEMY,25313,427.2564102564103
JOSEPH F. QUINN INTERMEDIATE SCHOOL 77,91256,407.4188034188034
JUAN MOREL CAMPOS SECONDARY SCHOOL,19009,390.545197740113
KAPPA,25254,412.22332506203475
KAPPA III,31801,412.33846153846156
KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),12043,413.0163265306122
KINGSBOROUGH EARLY COLLEGE SCHOOL,23114,426.49004975124376
KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,25942,420.53807106598987
LAFAYETTE ACADEMY,11783,419.1046511627907
LEADERS OF TOMORROW,31162,404.20947630922694
LEARNERS AND LEADERS,15644,454.7694704049844
LEGACY SCHOOL OF THE ARTS,3324,536.4659090909091
LIBERTY AVENUE MIDDLE SCHOOL,31495,434.3757225433526
LIGHTHOUSE ELEMENTARY SCHOOL,7464,399.1287878787879
LINDEN TREE ELEMENTARY SCHOOL,8550,492.84090909090907
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,32275,426.6697247706422
LUCERO ELEMENTARY SCHOOL,8284,449.8480392156863
LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOV,14918,403.43266475644697
LYONS COMMUNITY SCHOOL,11223,381.018115942029
M.S. 035 STEPHEN DECATUR,15214,418.50515463917526
M.S. 053 BRIAN PICCOLO,26317,397.47091412742384
M.S. 061 DR. GLADSTONE H. ATWELL,66130,410.08641975308643
M.S. 113 RONALD EDMONDS LEARNING CENTER,39715,404.98227848101266
M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEAD,44071,411.25615763546796
M.S. 131,32793,414.47536945812806
M.S. 137 AMERICA'S SCHOOL OF HEROES,191859,418.126
M.S. 158 MARIE CURIE,99494,431.78914405010437
M.S. 180 DR. DANIEL HALE WILLIAMS,87916,426.00228832951944
M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMIC,14453,428.4017094017094
M.S. 243 CENTER SCHOOL,18753,461.874358974359
M.S. 246 WALT WHITMAN,38596,409.0121359223301
M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,12740,397.45757575757574
M.S. 255 SALK SCHOOL OF SCIENCE,35804,448.56598984771574
"M.S. 267 MATH, SCIENCE & TECHNOLOGY",15714,412.1191222570533
M.S. 297,18072,559.2075471698113
M.S. 301 PAUL L. DUNBAR,18716,389.90030211480365
M.S. 302 LUISA DESSUS CRUZ,44341,406.07216494845363
M.S. 319 - MARIA TERESA,36629,380.6439169139466
M.S. 324 - PATRIA MIRABAL,33506,403.31094527363183
M.S. 358,19989,498.60869565217394
M.S. 390,39788,404.8475935828877
M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,18453,415.4702842377261
M.S. 51 WILLIAM ALEXANDER,99533,443.8424369747899
M.S. 582,24378,419.3245382585752
M.S. 839,10605,502.74058577405856
M.S. 890,8932,550.9407894736842
M.S. 935,3131,505.9298245614035
M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,8218,403.5833333333333
M.S. K394,25369,399.96559139784944
M.S. M245 THE COMPUTER SCHOOL,37097,435.69789227166274
M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,14367,423.14193548387095
M.S. X101 EDWARD R. BYRNE,49918,433.59574468085106
MADIBA PREP MIDDLE SCHOOL,14161,419.030303030303
"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLO",37015,442.07380952380953
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,114526,448.2371364653244
MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,45086,430.42117647058825
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,23230,438.06
METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,32677,424.04477611940297
MIDDLE SCHOOL 322,28380,400.3956043956044
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,19289,403.7980769230769
MILTON FEIN SCHOOL,40280,422.167816091954
MOSAIC PREPARATORY ACADEMY,9063,393.28
MOTT HALL BRIDGES ACADEMY,15848,403.59450171821305
MOTT HALL COMMUNITY SCHOOL,27844,415.890243902439
MOTT HALL II,33093,434.7796208530806
MOTT HALL III,32581,421.7139037433155
MOTT HALL IV,9522,409.00888888888886
MOTT HALL V,27598,406.1898734177215
MOUNT EDEN CHILDREN'S ACADEMY,10172,471.86036036036035
MS 936 ARTS OFF 3RD,8196,521.2988505747127
MUSCOTA,9737,439.38125
